w,h,genre
2,4,1
2,8,1
2,10,1
3,4,1
3,8,1
3,10,1
4,4,1
4,6,1
4,8,1
4,10,1
5,4,1
5,6,1
5,8,1
5,9,1
5,10,1
6,4,1
6,8,1
6,9,1
7,2,1
7,3,1
7,4,1
8,6,1
8,7,1
9,4,1
9,5,1
9,6,1
9,8,1
9,7,1
9,9,1
10,4,1
10,9,1
11,4,1
11,9,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
12,1,1
12,2,1
12,3,1
12,4,1
12,5,1
12,6,1
12,7,1
12,8,1
12,9,1
12,10,1
12,11,1
12,12,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
2,12,1
3,12,1
4,12,1
5,12,1
6,12,1
7,12,1
8,12,1
9,12,1
10,12,1
11,12,1
2,7,2
4,11,2
9,11,2
9,2,3
